,date,industry,local
0,,,
1,2010-06-30,0.13801016247106251,0.15098105812987273
2,2010-07-30,0.10957330652972377,0.05617862192067987
3,2010-08-31,0.06769471942843022,-0.002847864979652408
4,2010-09-30,0.02244859190921771,0.07753296987084124
5,2010-10-29,0.07993706166642064,-0.007144661345065656
6,2010-11-30,-0.08529833168097592,-0.03863509440818662
7,2010-12-31,-0.0779211360525637,-0.02982286812894139
8,2011-01-31,0.0739352034411076,0.09643932277568132
9,2011-02-28,-0.03818339798346829,-0.02206273844467823
10,2011-03-31,-0.03748711693899316,-0.054315668494931905
11,2011-04-29,-0.0903658818246148,-0.07524613765924776
12,2011-05-31,0.016788468399335874,-0.0012753922486085896
13,2011-06-30,0.06899619457916432,0.0003629559594533424
14,2011-07-29,0.00244720901044584,-0.033585012786646516
15,2011-08-31,-0.13031743995546874,-0.11677637623811896
16,2011-09-30,0.03149597415292721,0.049602099326624
17,2011-10-31,0.012971027806940259,-0.05088010026348659
18,2011-11-30,-0.15948801280569938,-0.14229547646693969
19,2011-12-30,-0.017636660665184777,-0.0034585916507175575
20,2012-01-31,0.13414561497762925,0.1259037673855998
21,2012-02-29,-0.02403033513318503,-0.07458878135987891
22,2012-03-30,0.08429133193858393,0.08392128312983754
23,2012-04-27,0.012240198438700896,-0.019302031257791764
24,2012-05-31,-0.04094896085315733,-0.08301521897853052
25,2012-06-29,-0.09136134434215179,-0.09039101160585943
26,2012-07-31,-0.030702362760181907,0.006067213610863108
27,2012-08-31,0.01207745858883062,0.010696427511305727
28,2012-09-28,0.01782649717643691,-0.0038468195901443366
29,2012-10-31,-0.14931836692640485,-0.10487666119309841
30,2012-11-30,0.1570998566149752,0.1646019534710079
31,2012-12-31,0.014794516593359284,0.05382251155681178
32,2013-01-31,0.05568524000387947,0.038505940372866934
33,2013-02-28,-0.04771498119300697,-0.03896816515625552
34,2013-03-29,-0.0829776323393358,-0.03287194195994525
35,2013-04-26,0.08549990962760834,0.10372139971174654
36,2013-05-31,-0.14925636927976194,-0.15883011180760898
37,2013-06-28,0.04258048920154755,0.07632077277842428
38,2013-07-31,0.04429864779474734,0.21194854408628627
39,2013-08-30,0.033836938606252955,0.08993680138891084
40,2013-09-30,-0.032971801002734065,-0.04143403970046848
41,2013-10-31,0.05048808010031496,0.08960116123453697
42,2013-11-29,-0.012491334527487146,-0.028010456579348978
43,2013-12-31,-0.05392436020734856,0.027408972524863212
44,2014-01-30,0.010895636363062814,0.03257596147008627
45,2014-02-28,-0.02285374166142191,-0.016747758397690642
46,2014-03-31,-0.031213769661516858,-0.021055816736176552
47,2014-04-30,-0.0035842661296674664,-0.0023754596902056963
48,2014-05-30,-0.017812286894607884,0.005328476119531424
49,2014-06-30,0.06818681878103398,0.06396237263865415
50,2014-07-31,0.048374101845946496,0.04380730085241016
51,2014-08-29,0.0867967557735964,0.12386011874892972
52,2014-09-30,0.0046189515040474475,0.016136364877649145
53,2014-10-31,0.04609007662430742,0.09364165684286506
54,2014-11-28,0.01384003030865263,-0.031646750803338744
55,2014-12-31,0.030058501460699345,0.08977247073024941
56,2015-01-30,0.03128051978695311,0.09829686330385155
57,2015-02-27,0.1638997045230923,0.1973258692436894
58,2015-03-31,0.08389935792839426,0.17764560211074207
59,2015-04-30,0.13836991983472355,0.17565832941429246
60,2015-05-29,-0.017734279474449773,-0.1269215631767372
61,2015-06-30,-0.12313429557769381,-0.16737045255849273
62,2015-07-31,-0.1513411435744243,-0.11630375903992497
63,2015-08-31,-0.07026903573505044,-0.005427566333571177
64,2015-09-30,0.17684569873852285,0.2368326745261885
65,2015-10-30,0.05123898662641897,0.06237686909090471
66,2015-11-30,0.08844938344023157,0.05141850662443692
67,2015-12-31,-0.2589536051649865,-0.29112307007708704
68,2016-01-29,-0.03665423434013598,-0.026040610193549935
69,2016-02-29,0.19353755833771782,0.1730711945510828
70,2016-03-31,0.001530825216642136,-0.030686130339249287
71,2016-04-29,0.0026029009882613677,-0.04367639166559433
72,2016-05-31,0.05785409922314085,0.016490390488039148
73,2016-06-30,0.0037456085597699753,0.0008969114570511087
74,2016-07-29,0.026891729532441656,0.036325156193475386
75,2016-08-31,-0.02745836660318207,-0.02693799135369383
76,2016-09-30,0.053669890022216844,0.024016838052962893
77,2016-10-31,0.010733105603730166,0.040277772115162556
78,2016-11-30,-0.02278301212888201,-0.028498103482486027
79,2016-12-30,-0.03242962195563067,-0.03453444412514449
80,2017-01-26,0.043799254321272234,0.05974056086958728
81,2017-02-28,-0.010697241190590527,-0.033576712561110535
82,2017-03-31,-0.06366042124940458,-0.07463218190887298
83,2017-04-28,-0.08524302674949247,-0.09063555910221407
84,2017-05-31,0.04361334541199086,0.02793573088847808
85,2017-06-30,0.008330002739560687,-0.030684835510159256
86,2017-07-31,0.0182315733224315,0.04783731420473236
87,2017-08-31,0.04072888513922067,-0.0018504439486816487
88,2017-09-29,0.01950734605349874,0.00709665967302382
89,2017-10-31,-0.06979348745631453,-0.08082900102060465
90,2017-11-30,0.027790690738927253,-0.020813428034595086
91,2017-12-29,-0.0027402572143014675,-0.01800516189549895
92,2018-01-31,-0.08037960641942844,-0.05445568711902609
93,2018-02-28,0.014086535445605336,0.05898628948315276
94,2018-03-30,-0.01953341594008667,-0.04433103355772613
95,2018-04-27,0.154867416986761,-0.03632287244830627
96,2018-05-31,-0.13835094130858844,-0.1248851961793881
97,2018-06-29,-0.002842217705125866,-0.00827543544517594
98,2018-07-31,-0.11533484711928764,-0.08783499208469664
99,2018-08-31,0.03810997625155248,0.0013866169449930298
